OMEGAWIKI	SEEALSO	GLOSS	SEMANTICFIELD	DEFINITION	POS	WOLD	SWADESH1952	IELEX	TOB110	LeipzigJakarta100	ABVD	CALMSEA200
7064	-	ABOVE	Spatial relations	In or to a higher place; higher than; on or over the upper surface.	Function word	12.081	-	-	-	-	-	-
1173416	-	ALL	Quantity	The totality of.	Function word	13.14	-	all	all	-	all	-
6464	6466	AND	Cognition	Used to connect two homogeneous words or phrases.	Function word	17.51	-	and	-	-	and	-
194	-	ANIMAL	Animals	Any living organism characterized by voluntary movement, the possession of cells with noncellulose cell walls and specialized sense organs enabling rapid response to stimuli, and the ingestion of complex organic substances such as plants and other animals.	Noun	3.11	-	animal	-	-	-	meat/animal
160271	-	ANT	Animals	Any of the black, red, brown, or yellow insects of the family Formicidae characterized by a large head and by living in organized colonies.	Noun	3.817	-	-	-	-	-	ant
6894	-	ARM	The body	The upper limb, extending from the shoulder to the wrist and sometimes including the hand.	Noun	4.31	-	-	-	-	-	hand/arm
420887	-	ARROW	Warfare and hunting	Pointed projectile that is shot with a bow.	Noun	20.25	-	-	-	-	-	-
264	-	ASH	The physical world	The incombustible matter remaining after a substance has been incinerated.	Noun	1.84	-	ashes	ashes	ash	ashes	ashes
823950	-	ASHAMED	Emotions and values	Feeling shame or guilt.	Adjective	-	-	-	-	-	-	-
6078	-	AT	Spatial relations	With very little distance to or in a particular place or location.	Function word	12.013	-	at	-	-	at	-
5648	-	BACK	The body	The rear of body, especially the part between the neck and the end of the spine and opposite the chest and belly.	Noun	4.19	-	back	-	back	back	-
5650	-	BAD	Emotions and values	Not good; unfavorable; negative.	Adjective	16.72	-	bad	-	-	bad, evil	-
848903	-	BAMBOO	Agriculture and vegetation	A group of woody perennial evergreen plants in the true grass family Poaceae, subfamily Bambusoideae, tribe Bambuseae.	Noun	8.94	-	-	-	-	-	-
369665	734724	BANANA	Agriculture and vegetation	The fruit of the banana tree.	Noun	8.84	-	-	-	-	-	-
5439	-	BARK	Agriculture and vegetation	The exterior covering of the trunk and branches of a tree.	Noun	8.75	-	bark (of tree)	bark	-	-	skin/bark
6028	965540	BE ALIVE	The body	To be alive; to have a life.	Verb	4.74	-	-	-	-	-	alive
474983	-	BE BORN	The body	To start living.	Verb	4.72	-	-	-	-	-	-
1541108	-	BE MANY	Quantity	existence of an indefinite large number of someone or something.	Function word	-	-	-	-	-	-	-
355931	-	BEAN	Food and drink	Any of various leguminous plants grown for their edible seeds and pods.	Noun	5.66	-	-	-	-	-	-
7552	-	BEAR	Animals	A large beast of prey of the family Ursidae, related to the dog and raccoon, having shaggy hair, a very small tail, and flat feet.	Noun	3.73	-	-	-	-	-	-
6855	-	BEAT	Basic actions and technology	To strike or pound repeatedly, usually in some sort of rhythm.	Verb	9.21	-	-	-	-	to pound, beat	-
514093	-	BECAUSE	Cognition	conjunction initiating a causal phrase.	Function word	17.52	-	because	-	-	-	-
325	-	BEE	Animals	Any of the membranous-winged insects which compose the superfamily Apoidea in the order Hymenoptera characterized by a hairy body and by sucking and chewing mouthparts.	Noun	3.82	-	-	-	-	-	-
5516	-	BELLY	The body	The lower part of the front of the torso (or a comparable part of an animal), confined by the upper side by the midriff and the lowerside by the pelvis. Contains the intestines.	Noun	4.431	-	belly	belly	-	belly	belly (exterior)
6199	-	BELOW, UNDER	Spatial relations	Lower in spatial position than.	Function word	12.07	-	-	-	-	-	-
384870	-	BERRY	Food and drink	A soft fruit which develops from a superior ovary and contains seeds not encased in pits.	Noun	-	-	-	-	-	-	-
5437	-	BIG	Spatial relations	Of a great size; the weakest sense of great size.	Adjective	12.55	-	big	big	big	big	-
400	-	BIRD	Animals	Any of the bipedal, warm-blooded vertebrates that lay eggs having wings which, for most species, enables them to fly.	Noun	3.581	-	bird	bird	bird	bird	bird
5993	-	BITE	The body	To cut off a piece by clamping the teeth.	Verb	4.58	-	to bite	bite	to bite	to bite	bite
375671	-	BITTER	Sense perception	Having an acrid taste.	Adjective	15.37	-	-	-	-	-	bitter
1341728	-	BLACK	Sense perception	Dark and colourless; not reflecting visible light.	Adjective	15.65	-	black	black	black	black	black
411	-	BLOOD	The body	A fluid connective tissue consisting of the plasma and cells that circulate in the blood vessels.	Noun	4.15	-	blood	blood	blood	blood	blood
1375415	-	BLOW	Motion	(Of the wind or a current of air) To move.	Verb	10.38	-	to blow (as wind)	-	to blow	to blow	blow
1375451	-	BLOW ON FIRE	Basic actions and technology	-	Verb	-	-	-	-	-	-	-
1511061	-	BLUNT	Sense perception	Having a thick edge or point, as an instrument; not sharp.	Adjective	15.79	-	dull (as a knife)	-	-	dull, blunt	-
7774	-	BOAT	Motion	A craft used for transportation of goods, fishing, racing, recreational cruising, or military use on or in the water, propelled by oars or outboard motor or inboard motor or by wind.	Noun	10.83	-	-	-	-	-	-
1399403	-	BODY HAIR	The body	The terminal hair that develops on the human body during and after puberty.	Noun	4.144	-	-	-	-	-	-
1510400	-	BODY LOUSE	Animals	A parasitic insect that infests the body and clothes of humans and feeds on blood.	Noun	3.8112	-	-	-	-	louse	-
347033	-	BOIL OF LIQUID	Food and drink	To be at a temperature (as a liquid) where it moves into the gaseous phase.	Verb	5.22	-	-	-	-	-	-
5983	-	BONE	The body	Any of the components of an endoskeleton, consisting mainly of calcium phosphate, collagen and cells.	Noun	4.16	-	bone	bone	bone	bone	bone
427040	-	BOW	Warfare and hunting	A weapon made of a curved piece of wood or other flexible material whose ends are connected by a string, used for shooting arrows.	Noun	20.24	-	-	-	-	-	-
6504	-	BRAIN	The body	The organ of the central nervous system of an animal located in the skull that controls the actions and thoughts of the animal.	Noun	4.203	-	-	-	-	-	-
6343	-	BRANCH	Agriculture and vegetation	A woody part of a tree arising from the trunk and usually dividing.	Noun	8.55	-	-	-	-	-	branch
5992	-	BREAST	The body	The fleshy organ on the chest of a sexually mature human female containing mammary glands.	Noun	4.41	-	-	breast	breast	breast	vagina or breast/milk
370376	-	BREATH	The body	The air inhaled and exhaled through the lungs.	Noun	-	-	-	-	-	-	-
5998	-	BREATHE	The body	To repeatedly draw air into, and expel it from, the lungs, in order to extract oxygen from it and excrete waste products.	Verb	4.51	-	to breathe	-	-	to breathe	-
441	-	BUG	Animals	Any of the suborder Heteroptera, having piercing and sucking mouthparts, specialized as a beak. (Source: CED)	Noun	-	-	-	-	-	-	-
6039	844863	BURN	The physical world	To be consumed by fire.	Verb	1.852	-	to burn (intransitive)	-	to burn (intr.)	to burn	burn
1299599	1232648	BURN SOMETHING	The physical world	To cause to undergo fire combustion.	Verb	1.851	-	-	-	-	to burn	burn
8061	-	BUY	Possession	To obtain in exchange for money or goods.	Verb	11.81	-	-	-	-	-	buy
335263	-	CARRY	Motion	To lift and bring to somewhere else; to transport by lifting.	Verb	10.61	-	-	-	-	-	-
1510493	-	CHEW	Food and drink	To crush with the teeth by repeated closing and opening of the jaws; done to food to soften it and break it down by the action of saliva before it is swallowed.	Verb	5.18	-	-	-	-	-	-
7413	-	CHILD DESCENDANT	Kinship	Biological offspring.	Noun	2.43	-	-	-	-	child	child/son
568	-	CHILD YOUNG HUMAN	Kinship	A person below the age of puberty.	Noun	2.27	-	child (a youth)	-	-	child	-
454216	-	CHILD-IN-LAW	Kinship	The spouse of someone's child.	Noun	2.6411	-	-	-	-	-	-
7084	-	CHOOSE	Emotions and values	To make a choice from a number of alternatives.	Verb	16.622	-	-	-	-	-	-
828398	-	CLAW	The body	A curved pointed appendage, found at the end of a toe or finger or, in arthropods, of the tarsus.	Noun	4.345	-	-	-	-	-	nail/claw
479387	-	CLIMB	Motion	To mount to a high or little accessible place using feet and hands.	Verb	10.472	-	-	-	-	-	climb, ascend
623	-	CLOUD	The physical world	Suspensions of minute water droplets or ice crystals produced by the condensation of water vapour.	Noun	1.73	-	cloud	cloud	-	cloud	cloud
5639	-	COLD OF TEMPERATURE	Sense perception	Having a low temperature.	Adjective	15.86	-	cold (as in weather)	cold	-	cold	cold
6056	5965	COME	Motion	To move toward or to reach either the speaker, the person spoken to, or the subject of the speaker's narrative.	Verb	10.48	-	to come	come	to come	to come	-
479132	-	COOK	Food and drink	To prepare a meal or a single dish.	Verb	5.21	-	-	-	-	-	cook/boil
538459	-	COOKED RICE	Food and drink	Boiled rice.	Noun	-	-	-	-	-	-	-
763	-	CORAL	Animals	The skeleton of certain solitary and colonial anthozoan coelenterates; composed chiefly of calcium carbonate.	Noun	-	-	-	-	-	-	-
7026	-	CORRECT, RIGHT	Emotions and values	That are in accordance with fact.	Adjective	16.73	-	right (correct)	-	-	correct, true	-
373675	-	COUGH	The body	To force air from the lungs out the mouth, sometimes involuntarily, accompanied by a rough sound.	Verb	4.53	-	-	-	-	-	-
6026	626814	COUNT	Quantity	To enumerate the digits of one's numeral system.	Verb	13.107	-	to count	-	-	to count	-
632491	-	CRUSH	Food and drink	To tighten (something) so strongly that it loses the form and the original consistency	Verb	5.56	-	-	-	-	-	-
7709	-	CRY	Emotions and values	To shed tears due to the impact of an emotion.	Verb	16.37	-	-	-	-	to cry	weep
6043	6106;1351742;699910	CUT	Basic actions and technology	To perform an incision (for example, with a knife).	Verb	9.22	-	to cut	-	-	to cut, hack	cut
5533	-	DAY 24 HOURS	Time	A period of time lasting 24 hours	Noun	14.411	-	-	-	-	-	-
5477	-	DAY OF LIGHT	Time	The period between sunrise and sunset where one enjoys daylight.	Noun	14.41	-	day (daytime)	-	-	-	sun/day
6660	1042272	DEAD	The body	Not alive; lacking life.	Adjective	4.7501	-	-	-	-	-	-
6245	-	DIE	The body	To cease to live.	Verb	4.75	-	to die	die	-	to die, be dead	die
6024	-	DIG	Agriculture and vegetation	To move earth, rocks, etc. out of the way, usually to create a hole.	Verb	8.22	-	to dig	-	-	to dig	dig
5483	-	DIRTY	Sense perception	Covered with or containing unpleasant substances such as dirt or grime.	Adjective	15.88	-	dirty	-	-	dirty	-
351006	-	DO	Basic actions and technology	To act, to behave.	Verb	9.11	-	-	-	-	-	-
966	-	DOG	Animals	A common four-legged animal, especially kept by people as a pet or to hunt or guard things.	Noun	3.61	-	dog	dog	dog	dog	dog
7890	-	DOVE	Animals	One of several birds of the family Columbidae.	Noun	3.594	-	-	-	-	-	-
8448	-	DREAM	The body	To experience while sleeping.	Verb	4.62	-	-	-	-	-	dream
5991	-	DRINK ACTION	Food and drink	To consume a liquid through the mouth.	Verb	5.13	-	-	drink	to drink	to drink	drink
339	-	DRINK OBJECT	Food and drink	Any one of various liquids for drinking.	Noun	5.9	-	-	-	-	-	-
341382	-	DROP	Motion	The event of moving to a lower position due to the effect of gravity.	Verb	10.16	-	-	-	-	-	-
5989	-	DRY	Sense perception	(Almost) free from liquid or moisture.	Adjective	15.84	-	dry (adjective)	dry	-	dry	-
1542663	-	DRY SEASON	Time	Yearly period of low rainfall in the tropics.	Noun	-	-	-	-	-	-	-
7277	-	DRY UP	Basic actions and technology	To lose moisture, usually through evaporation or absorption.	Verb	-	-	-	-	-	-	-
1009	-	DUST	The physical world	Any kind of solid material divided in particles of very small size.	Noun	1.213	-	dust	-	-	dust	-
5510	-	EAR	The body	The organ of hearing, consisting of the pinna, auditory canal, eardrum, malleus, incus, stapes and cochlea.	Noun	4.22	-	ear	ear	ear	ear	ear/hear
5827	6596	EAT	Food and drink	To consume something solid or semi-solid (usually food) by putting it into the mouth and eventually swallowing it.	Verb	5.11	-	to eat	eat	to eat	to eat	eat
340828	-	EGG	Food and drink	Egg (either fertilized or not) from domesticated birds, most commonly hens, seen as food.	Noun	5.97	-	egg	egg	egg	egg	egg
7005	-	EIGHT	Quantity	The cardinal number occurring after seven and before nine, represented in Roman numerals as VIII, in Arabic numerals as 8.	Function word	13.08	-	-	-	-	-	eight
465364	-	EMERGE, APPEAR	Basic actions and technology	To become known or apparent.	Verb	-	-	-	-	-	-	-
1255943	-	EXTINGUISH	The physical world	To make something stop burning.	Verb	1.861	-	-	-	-	-	-
5511	-	EYE	The body	The organ that is sensitive to light, which it converts to electrical signals passed to the brain, by which means animals see.	Noun	4.21	-	eye	eye	eye	eye	eye
5622	-	FALL	Motion	To descend in free fall due to the effect of gravity.	Verb	10.23	-	-	-	to fall	to fall	fall (from a height)
5997	-	FAR	Spatial relations	Having a large intervening distance with regard to something.	Adverb	12.44	-	far	far	far	far	far
475820	-	FASTEN	Basic actions and technology	Tighten and close, for example a belt.	Verb	-	-	-	-	-	-	-
5624	-	FAT	Food and drink	The ester of glycerol and one, two, or three fatty acids.	Noun	5.791	-	fat (noun)	fat n.	-	fat/grease	fat
5464	-	FATHER	Kinship	A male parent.	Noun	2.35	-	father	-	-	father	-
6025	-	FEAR, BE AFRAID	Emotions and values	To be scared of; to have an uncontrollable emotion of anxiety about something that causes a scared reaction or frightening impression.	Verb	-	-	to fear	-	-	to fear	fear/frighten
5436	-	FEATHER	The body	A branching, hair-like structure that grows on the skin of birds and protects them against coldness and water and allows their wings to create lift.	Noun	4.393	-	feather (rather not down)	feather	-	feather	-
6393	6392	FEMALE	Animals	Of, relating to, or denoting the sex which is generally characterized as the one associated with the larger gametes (for species which have two sexes and for which this distinction can be made).	Adjective	2.24;3.13	-	-	-	-	-	-
5500	-	FEW	Quantity	More than one, but not as many as usual or as expected.	Function word	13.17	-	few	-	-	-	-
1425	-	FIELD	Agriculture and vegetation	A limited area of land with grass or crops growing on it, which is usually surrounded by fences or closely planted bushes when it is part of a farm.	Noun	8.12	-	-	-	-	-	-
7019	-	FIFTY	Quantity	The cardinal number occurring after forty-nine and before fifty-one, represented in Roman numerals as L and in Arabic numerals as 50.	Function word	-	-	-	-	-	-	-
6030	-	FIGHT	Warfare and hunting	To be involved in a physical confrontation.	Verb	20.11	-	to fight	-	-	-	-
5675	-	FINGER	The body	One of the long extremities of the hand that is used for gripping objects.	Noun	4.34	-	-	-	-	-	-
5529	-	FINGERNAIL	The body	The hard, flat, translucent covering near the tip of a human finger, useful for scratching and fine manipulation.	Noun	4.344	-	-	-	-	-	-
1446	-	FIRE	The physical world	The state of combustion in which inflammable material burns, producing heat, flames and often smoke.	Noun	1.81	-	fire	fire	fire	fire	fire
1460	-	FISH	Animals	A cold-blooded vertebrate animal that lives in water that moves with the help of fins and breathes using gills (Pisces).	Noun	3.65	-	fish	fish	fish	fish	fish
156104	5448	FIVE	Quantity	The fifth natural number (5).	Function word	13.05	-	five	-	-	Five	five
414377	-	FLEE	Motion	Leaving a dangerous or unpleasant situation.	Verb	10.51	-	-	-	-	-	-
1539792	-	FLESH	The body	The flesh of humans as opposed to the flesh of animals.	Noun	4.13	-	-	-	flesh/meat	meat/flesh	-
6457	6074	FLOAT	Motion	To move or run smoothly and continously as a fluid.	Verb	10.34	-	to float	-	-	-	-
961244	7030	FLOW	Motion	To move as a fluid from one position to another (e.g. of people).	Verb	10.32	-	to flow	-	-	to flow	-
1487	-	FLOWER	Agriculture and vegetation	The reproductive structure of angiosperm plants, consisting of stamens and carpels surrounded by petals and sepals all borne on the receptacle.	Noun	8.57	-	flower	-	-	flower	flower
6261	-	FLY, INSECT	Animals	A common insect; any species of insect of the order Diptera.	Noun	3.83	-	-	-	-	-	fly
6052	-	FLY, MOVE THROUGH AIR	Motion	To move autonomously through the air, without any part of the object or object's enclosure touching anything attached to the ground.	Verb	10.37	-	to fly	fly v.	-	to fly	-
1502	-	FOG	The physical world	Water droplets or, rarely, ice crystals suspended in the air in sufficient concentration to reduce visibility appreciably.	Noun	1.74	-	fog	-	-	fog	-
5672	-	FOOT	The body	The part of a human’s body below the ankle that is used in order to stand and walk.	Noun	4.37	-	foot	foot	leg/foot	leg/foot	foot
1533	-	FOREST	The physical world	A vegetation community dominated by trees and other woody shrubs, growing close enough together that the tree tops touch or overlap, creating various degrees of shade on the forest floor.	Noun	1.41	-	-	-	-	woods/forest	-
6328	-	FORGET	Cognition	To lose memory of something.	Verb	17.32	-	-	-	-	-	-
6253	5447	FOUR	Quantity	The cardinal number occurring after three and before five, represented in Roman numerals as IV, in Arabic numerals as 4.	Function word	13.04	-	four	-	-	Four	four
1505737	-	FOWL	Animals	A bird that is kept for its meat and eggs.	Noun	3.5	-	-	-	-	-	-
6042	-	FREEZE	The physical world	To reach a chemically solid state, by the process of cooling.	Verb	1.775	-	to freeze	-	-	-	-
1504545	-	FRIGHTEN	Sense perception	To make someone afraid or anxious.	Verb	-	-	-	-	-	-	-
1570	-	FROG	Animals	Any insectivorous anuran amphibian of the family Ranidae, such as Rana temporaria of Europe, having a short squat tailless body with a moist smooth skin and very long hind legs specialized for hopping.	Noun	3.95	-	-	-	-	-	-
1541236	-	FRONT TOOTH, INEISOR	The body	several teeth located above and below in the mouth of mammals to bite food off.	Noun	-	-	-	-	-	-	-
6280	-	FRUIT	Food and drink	A botanical fruit that can be eaten raw used as food	Noun	5.71	-	fruit	-	-	fruit	fruit
6040	-	FULL	Quantity	Containing the most or maximum amount possible in the given available space.	Adjective	13.21	-	-	full	-	-	full
6059	-	GIVE	Possession	To transfer the possession or holding (of an object) to another person.	Verb	11.21	-	to give	give	to give	-	give
334831	-	GO	Motion	To move from a place to another that is further away.	Verb	10.47	-	-	-	-	-	-
980418	-	GO DOWN, DESCEND	Motion	To go from a higher to a lower place.	Verb	10.473	-	-	-	-	-	-
335553	479363	GO UP, ASCEND	Motion	To ascend; to go up.	Verb	10.471	-	-	-	-	-	-
443659	-	GOOD	Emotions and values	Having desired or positive qualities.	Adjective	16.71	-	good	good	good	good	-
6624	-	GRANDCHILD	Kinship	A child of someone’s child.	Noun	2.5	-	-	-	-	-	-
1675	-	GRASS	Agriculture and vegetation	A very large and widespread family of Monocotyledoneae, with more than 10.000 species, most of which are herbaceous, but a few are woody. The stems are jointed, the long, narrow leaves originating at the nodes. The flowers are inconspicuous, with a much reduced perianth, and are wind-pollinated or cleistogamous.	Noun	8.51	-	grass	-	-	grass	grass
1510501	-	GREASE	Food and drink	Animal fat in a melted or soft state; a semisolid lubricant.	Noun	5.791	-	-	-	-	-	fat/grease
